"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2018","68.92","69.87","70.43","67.99","2.98M","-1.53%"
"03/29/2018","69.99","68.99","70.65","68.99","3.78M","2.09%"
"03/28/2018","68.56","68.09","69.66","67.84","3.79M","1.21%"
"03/27/2018","67.74","69.66","69.67","67.39","3.10M","-2.55%"
"03/26/2018","69.51","67.90","69.95","67.76","3.50M","4.24%"
"03/23/2018","66.68","67.43","68.56","66.65","3.32M","-0.85%"
"03/22/2018","67.25","67.89","68.37","66.98","3.19M","-1.74%"
"03/21/2018","68.44","69.52","69.81","68.41","3.52M","-2.28%"
"03/20/2018","70.04","68.31","70.22","68.31","3.98M","2.20%"
"03/19/2018","68.53","69.57","69.76","68.30","3.30M","-1.72%"
"03/16/2018","69.73","69.01","70.13","68.64","5.47M","1.07%"
"03/15/2018","68.99","69.81","70.34","68.94","3.79M","-1.30%"
"03/14/2018","69.90","71.96","71.98","69.75","5.16M","-2.27%"
"03/13/2018","71.52","72.62","73.35","71.18","3.63M","-0.74%"
"03/12/2018","72.05","73.82","74.20","70.60","3.14M","-2.40%"
"03/09/2018","73.82","73.87","73.96","72.20","3.32M","0.78%"
"03/08/2018","73.25","74.08","74.26","72.65","3.64M","-0.53%"
"03/07/2018","73.64","74.79","75.38","72.89","5.50M","-4.08%"
"03/06/2018","76.77","75.38","77.32","75.38","4.35M","2.28%"
"03/05/2018","75.06","72.86","75.51","72.50","6.13M","2.77%"
"03/02/2018","73.04","74.85","75.18","72.27","6.93M","-3.00%"
"03/01/2018","75.30","74.45","76.03","72.73","13.38M","3.95%"
"02/28/2018","72.44","72.02","73.93","71.64","5.05M","1.33%"
"02/27/2018","71.49","73.03","73.43","71.11","4.39M","-1.49%"
"02/26/2018","72.57","73.67","74.25","72.51","3.71M","-0.82%"
"02/23/2018","73.17","72.09","73.32","71.63","2.32M","2.64%"
"02/22/2018","71.29","71.40","71.94","71.12","2.48M","0.71%"
"02/21/2018","70.79","72.24","72.90","70.74","2.87M","-1.57%"
"02/20/2018","71.92","72.63","73.44","71.72","2.67M","-1.72%"
"02/16/2018","73.18","73.27","74.25","72.77","2.17M","-0.19%"
"02/15/2018","73.32","73.06","73.32","71.84","2.28M","1.10%"
"02/14/2018","72.52","69.74","72.81","69.41","3.60M","3.45%"
"02/13/2018","70.10","70.06","70.88","69.70","2.88M","-0.36%"
